authorityCode,zenodoDoi
1980_CH1,https://doi.org/10.5281/zenodo.17260800
1982_MSW1,https://doi.org/10.5281/zenodo.13445249
1991_CH3,https://doi.org/10.5281/zenodo.18023078
1993_MSW2,https://doi.org/10.5281/zenodo.13424577
1994_Koopman,https://doi.org/10.5281/zenodo.13422270
2005_MSW3,https://doi.org/10.5281/zenodo.13520803
2019_HMW,
2022_BatNames,https://doi.org/10.5281/zenodo.6857865
2022_IUCN,
2022_MDD,https://doi.org/10.5281/zenodo.7358650
2023_BatNames,https://doi.org/10.5281/zenodo.8136157
2023_MDD,https://doi.org/10.5281/zenodo.7830771
2025_batnames_1_7,https://doi.org/10.5281/zenodo.14796586
2025_MDD_2_0,https://doi.org/10.5281/zenodo.15007505
2025_MDD_2_2,https://doi.org/10.5281/zenodo.15659662
