treatmentId	1980_CH1	1982_MSW1	1991_CH3	1993_MSW2	1994_Koopman	2005_MSW3	2019_HMW	2022_BatNames	2022_MDD	2022_IUCN	2023_BatNames	2023_MDD	2025_MDD_2_0	2025_batnames_1_7	2025_MDD_2_2
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L2.tsv	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon celebensis
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L3.tsv	Pteropus arquatus	Pteropus arquatus	Acerodon celebensis [synonym of]	Acerodon celebensis [synonym of]	N/A	Acerodon celebensis [synonym of]	N/A	Acerodon celebensis celebensis [synonym of]	Acerodon celebensis [synonym of]	Acerodon celebensis [synonym of]	Acerodon celebensis celebensis [synonym of]	Acerodon celebensis [synonym of]	Acerodon celebensis [synonym of]	 	Acerodon celebensis [synonym of]
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L4.tsv	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis	Acerodon humilis
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L5.tsv	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus	Acerodon jubatus
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L6.tsv	Acerodon lucifer	Acerodon lucifer	Acerodon lucifer	N/A	Acerodon lucifer	Acerodon jubatus lucifer	Acerodon jubatus [synonym of]	Acerodon jubatus lucifer	Acerodon jubatus [synonym of]	Acerodon jubatus [synonym of]	Acerodon jubatus lucifer	Acerodon jubatus [synonym of]	Acerodon jubatus [synonym of]	 	Acerodon jubatus lucifer
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L7.tsv	Pteropus leucotis	Pteropus leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis	Acerodon leucotis
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L8.tsv	Acerodon mackloti	Acerodon mackloti	Acerodon macklotii	Acerodon mackloti	Acerodon mackloti	Acerodon mackloti	Acerodon macklotii	Acerodon macklotii	Acerodon macklotii	Acerodon mackloti	Acerodon macklotii	Acerodon macklotii	Acerodon macklotii	Acerodon macklotii	Acerodon macklotii
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L9.tsv	N/A	Aethalops alecto [synonym of]	N/A	Aethalops alecto [synonym of]	Aethalops alecto aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis	Aethalops aequalis
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L10.tsv	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto	Aethalops alecto
https://linker.bio/line:hash://sha256/8b20b8ebd7b5bd963ba9f45ca371e7167e7d48b61e72aa14471a3e496be15a50!/L1,L11.tsv	N/A	N/A	Pipistrellus helios	N/A	Pipistrellus africanus helios	Neoromicia helios	Neoromicia helios	Afronycteris helios	Afronycteris helios	Neoromicia helios	Afronycteris helios	Afronycteris helios	Afronycteris helios	Afronycteris helios	Afronycteris helios
