treatmentId,accordingTo,scientificName
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_CH1_1980,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_MSW1_1982,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_CH3_1991,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_MSW2_1993,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_Koopman_1994,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_MSW3_2005,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_HMW_2019,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_BatNames_2022,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_MDD_2022,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_IUCN_2022,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_BatNames_2023,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_MDD_2023,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_MDD_2025_2_0,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L3.tsv",name_batnames_2025_1_7,Acerodon celebensis
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L4.tsv",name_CH1_1980,Pteropus arquatus
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L4.tsv",name_MSW1_1982,Pteropus arquatus
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L4.tsv",name_CH3_1991,Acerodon celebensis [synonym of]
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L4.tsv",name_MSW2_1993,Acerodon celebensis [synonym of]
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L4.tsv",name_Koopman_1994,N/A
"https://linker.bio/line:hash://sha256/2c8d34621e633176fa8ef96999e1bdfb4e7b0148ab10d7327711d0d5430606d1!/L2,L4.tsv",name_MSW3_2005,Acerodon celebensis [synonym of]
